id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at,status_verified_at
e7119cc2-2e0e-4acf-9439-7ae9f6ac2157,ample.partners,available,10.48,88.98,high,low,5,namecheap,,,
70f6a95e-1b37-48ec-8a65-a784e5ce1d73,aery.partners,available,10.48,88.98,high,low,4,namecheap,,,
1b4421a9-6081-4b92-ade4-e503e49c9c93,namely.partners,available,13.99,,medium,low,6,name.com,,,
715fc3a3-a53f-4e2a-bd02-c0abce6cbf57,masters.partners,available,13.99,,high,low,7,name.com,,,
79cc2681-e2af-44ca-8bb6-6afc5a9de338,analyzable.partners,available,10.48,88.98,medium,low,10,namecheap,,,
9173e5e5-c60f-465f-9a82-2507dade0c21,tribute.partners,available,13.99,,high,low,7,name.com,,,
10f57175-ec56-449e-bf9e-ae95bbc2b30d,unlike.partners,available,13.99,,high,low,6,name.com,,,
ca208223-bdb5-46af-aedc-c4239271394a,feminism.partners,available,13.99,,high,low,8,name.com,,,
2d072415-02d7-43e6-9646-618fcb130b87,nothing.partners,available,20.99,71.99,high,low,7,namesilo,,,24/09/2026 13:44
f21cd877-a33b-4690-b3ce-4cfec001c0a9,worker.partners,available,13.99,,high,low,6,name.com,,,
42a07ba2-b621-4487-9868-4acfd8fe73c7,captain.partners,available,13.99,,high,low,7,name.com,,,
40f1a73f-52d9-440f-b8ed-5d4b122ea540,barbarous.partners,available,10.48,88.98,medium,low,9,namecheap,,,08/08/2026 15:40
cf0c3db0-28e4-42c4-a51a-116f887d7593,afterward.partners,available,10.48,88.98,medium,low,9,namecheap,,,
74d5a194-78c6-42d0-b50e-b124cde38216,fla.partners,available,13.99,,high,low,3,name.com,,,
f318a3be-4040-4940-b4ae-3cb975658653,shear.partners,available,13.99,,medium,low,5,name.com,,,
0c5a1e6c-6c9d-42c5-9287-bd46cd2031fc,idle.partners,available,10.48,88.98,high,low,4,namecheap,,,08/08/2026 21:52
55a48d4f-aa75-4984-b060-849838030acf,painted.partners,available,13.99,,high,low,7,name.com,,,
857e9664-76d5-4f3f-b3b5-c79ac2b1a518,buttonlike.partners,available,10.48,88.98,medium,low,10,namecheap,,,09/08/2026 03:39
f700c191-ee6b-4f52-890b-22c9a2cb6e59,argive.partners,available,10.48,88.98,medium,low,6,namecheap,,,06/08/2026 18:27
f2d82450-dbc2-4f27-9658-b70d80408485,group.partners,premium,260,260,high,low,5,namecheap,,,
61ff0ff0-1d8e-48b9-a678-29f111d64b4f,proved.partners,available,13.99,,high,low,6,name.com,,,
c7a7f853-3e4d-496f-a493-cdd5b2743b74,message.partners,available,10.48,88.98,high,low,7,namecheap,,,08/09/2026 08:47
72f7f3fc-2aed-4ad1-97af-9b82b41a5604,axiomatic.partners,available,,,medium,low,9,,,,
7ea36ac8-092d-45ef-814b-d39ece0b3bdf,clarity.partners,available,,,high,medium,7,,,,
9d68ba8c-9706-4e45-b69b-c0993ae356e2,harold.partners,available,13.99,,high,low,6,name.com,,,
d64f8a06-f4ef-4aee-9b7f-2d5ad36e4cc1,mouthcare.partners,available,13.99,,medium,low,9,name.com,,,
2bba1c20-c5ec-444b-a955-c732274f2677,reasonably.partners,available,13.99,,medium,low,10,name.com,,,
3cca9741-adce-4da3-a7fb-53464a3b0394,owe.partners,premium,78.54,78.54,high,low,3,namesilo,,,
4dcdcf80-3ec5-481e-b3a0-caa5eb9e4783,legend.partners,available,13.99,,high,low,6,name.com,,,
15cf0b1b-96c5-473c-8880-0c3d9abc352d,multiplayer.partners,available,13.99,,high,low,11,name.com,,,
862da1f7-870d-4782-bcb6-afef7b3909be,plaguey.partners,available,10.48,88.98,medium,low,7,namecheap,,,
ec59665e-ef2e-44ee-9db6-834860d3394f,presently.partners,available,13.99,,high,low,9,name.com,,,
f2292894-d4b1-43b0-ae29-0086385f4a74,touring.partners,available,13.99,,high,low,7,name.com,,,
910360ca-6670-4ad6-95e6-8f74b920cc53,cairo.partners,available,13.99,,high,low,5,name.com,,,
8dc9469c-b037-48b4-a427-af541ee6a2f4,mon.partners,available,13.99,,high,low,3,name.com,,,
887c98d1-7db3-4d26-a02f-0cd567cd3fd2,grinning.partners,available,13.99,,high,low,8,name.com,,,
ff0c4ab3-7118-499c-afdc-f380419e61ec,climbable.partners,available,10.48,88.98,medium,low,9,namecheap,,,07/08/2026 00:10
e4a436d9-aec9-4987-b5f8-e2a8df0bca47,conventionally.partners,available,13.99,,medium,low,14,name.com,,,
d0c091ad-d9aa-433a-9b6e-3233fd9d90d7,graspable.partners,available,10.48,88.98,medium,low,9,namecheap,,,06/08/2026 08:18
6fcddf6f-b427-4702-8956-9ba758deed54,strange.partners,available,13.99,,high,low,7,name.com,,,
